title,author,rating,genres
the moment of lift: how empowering women changes the world,melinda french gates,8.56,documentary
take my heart,j.j. sorel,8.34,drama
"the likeness (dublin murder squad, #2)",tana french,8.12,mystery
the baron in the trees,italo calvino,8.04,fantasy
story of the eye,georges bataille,7.32,horror
"tomorrow, and tomorrow, and tomorrow",gabrielle zevin,8.42,romance
trinity,leon uris,8.56,history
the great and secret show (book of the art #1),clive barker,8.12,horror
immortality,milan kundera,8.28,documentary
dispatches,michael herr,8.44,documentary
"daughter of the pirate king (daughter of the pirate king, #1)",tricia levenseller,7.96,fantasy
"harry potter collection (harry potter, #1-6)",j.k. rowling,9.44,fantasy
the guns of august,barbara w. tuchman,8.34,history
"the crossing (the border trilogy, #2)",cormac mccarthy,8.3,adventure
the arbitrator,max nowaz,8.54,science fiction
musashi,eiji yoshikawa,8.94,history
لا تحزن,عائض القرني,8.26,documentary
don't close your eyes,lynessa james,7.42,romance
"supreme betrayal (zachary blake legal thriller, #6)",mark m. bello,8.66,drama
"tithe (modern faerie tales, #1)",holly black,7.4,fantasy
the solitude of prime numbers,paolo giordano,7.28,romance
"it's not summer without you (summer, #2)",jenny han,7.62,romance
the orphan master's son,adam  johnson,8.12,history
"the shadows between us (the shadows between us, #1)",tricia levenseller,7.72,fantasy
lost horizon,james hilton,7.88,fantasy
"the holy bible: new american standard version, nasb",anonymous,9.26,documentary
"the body keeps the score: brain, mind, and body in the healing of trauma",bessel van der kolk,8.84,documentary
to hell and back,audie murphy,8.5,history
special topics in calamity physics,marisha pessl,7.4,mystery
"when the wind blows (when the wind blows, #1)",james patterson,7.86,mystery
"the two princesses of bamarre (the two princesses of bamarre, #1)",gail carson levine,8.1,fantasy
sadie,courtney summers,8.12,mystery
"stillhouse lake (stillhouse lake, #1)",rachel caine,8.24,thriller
good strategy bad strategy: the difference and why it matters,richard p. rumelt,8.26,documentary
"titus groan (gormenghast, #1)",mervyn peake,7.84,fantasy
the woods,harlan coben,8.1,mystery
how to talk to anyone: 92 little tricks for big success in relationships,leil lowndes,7.44,documentary
out,natsuo kirino,7.9,thriller
"haunting adeline (cat and mouse duet, #1)",h.d. carlton,8.06,romance
"last argument of kings (the first law, #3)",joe abercrombie,8.66,fantasy
i am pilgrim,terry hayes,8.56,thriller
"the city of brass (the daevabad trilogy, #1)",s.a. chakraborty,8.3,fantasy
guess how much i love you,sam mcbratney,8.76,family
"my sister's grave (tracy crosswhite, #1)",robert dugoni,8.16,mystery
annabel horton: lost witch of salem,vera jane cook,8.46,fantasy
l'assommoir,émile zola,8.14,history
"wolves of the calla (the dark tower, #5)",stephen king,8.38,fantasy
"children of the mind (ender's saga, #4)",orson scott card,7.54,science fiction
"god emperor of dune (dune, #4)",frank herbert,7.76,science fiction
"partials (partials sequence, #1)",dan wells,7.86,science fiction
the chrysalids,john wyndham,7.86,science fiction
little bee,chris cleave,7.44,history
wolf hustle: a black woman on wall street,cin fabré,8.52,documentary
if you could see me now,cecelia ahern,7.74,romance
"library of souls (miss peregrine's peculiar children, #3)",ransom riggs,8.28,fantasy
history is all you left me,adam silvera,7.88,romance
the seventh spark: volume one – knights of the trinity,j.b. lion,8.58,drama
"the dark is rising sequence (the dark is rising, #1-5)",susan cooper,8.58,fantasy
memories of my future,ammar habib,8.78,history
congo,michael crichton,7.24,science fiction
"fifth business (the deptford trilogy, #1)",robertson davies,8.12,history
"revelations (bloodlines, #3)",lindsay anne kendal,8.12,fantasy
"the cay (the cay, #1)",theodore taylor,7.58,history
"plague (gone, #4)",michael  grant,8.34,science fiction
orphan train,christina baker kline,8.38,history
have a little faith: a true story,mitch albom,8.36,documentary
in our bones,pernell plath meier,8.44,science fiction
"the cheat code (wisdom revolution, #3)",misba,9.36,fantasy
"thirst no. 1: the last vampire, black blood, and red dice (thirst, #1)",christopher pike,7.7,fantasy
high-rise,j.g. ballard,7.22,science fiction
lies my teacher told me: everything your american history textbook got wrong,james w. loewen,7.94,history
the yiddish policemen's union,michael chabon,7.42,mystery
الحرافيش,naguib mahfouz,8.76,history
"found (the missing, #1)",margaret peterson haddix,7.96,science fiction
women who run with the wolves,clarissa pinkola estés,8.26,documentary
"sweet peril (sweet, #2)",wendy higgins,8.48,fantasy
"the goddess test (goddess test, #1)",aimee carter,7.58,fantasy
"a princess of mars (barsoom, #1)",edgar rice burroughs,7.62,science fiction
"broken promises (past imperfect mystery, #1)",anne  willow,8.5,romance
deliverance,james dickey,7.78,thriller
the strange case of dr. jekyll and mr. hyde and other tales of terror,robert louis stevenson,7.86,horror
"unwholly (unwind, #2)",neal shusterman,8.48,science fiction
"infinity (chronicles of nick, #1)",sherrilyn kenyon,8.06,fantasy
the book of lost names,kristin harmel,8.84,history
"true teryn (the last lumenian, #2)",s.g. blaise,8.62,fantasy
"hunger (gone, #2)",michael  grant,8.04,science fiction
the humans,matt haig,8.16,science fiction
the paris affair,melanie hudson,8.92,history
"finding me: a decade of darkness, a life reclaimed - a memoir of the cleveland kidnappings",michelle knight,8.32,documentary
hold me tight: seven conversations for a lifetime of love,sue johnson,8.22,documentary
the body code: unlocking your body's ability to heal itself,bradley  nelson,8.22,documentary
the ancestor,lee matthew goldberg,8.52,thriller
"beneath this man (this man, #2)",jodi ellen malpas,8.52,romance
"fear (gone, #5)",michael  grant,8.46,science fiction
"eighth grade bites (the chronicles of vladimir tod, #1)",heather brewer,7.86,fantasy
"the mysterious benedict society and the prisoner's dilemma (the mysterious benedict society, #3)",trenton lee stewart,8.58,mystery
"fool moon (the dresden files, #2)",jim butcher,7.98,fantasy
"love unscripted (love, #1)",tina reber,8.04,romance
einstein's dreams,alan lightman,8.14,documentary
the portable dorothy parker,dorothy parker,8.68,comedy
relic,douglas preston,8.1,horror
dead poets society,n.h. kleinbaum,8.36,drama
conversations with friends,sally rooney,7.54,romance
the vanishing half,brit bennett,8.32,history
"his majesty's dragon (temeraire, #1)",naomi novik,8.12,fantasy
"labyrinth (languedoc, #1)",kate mosse,7.22,history
"spellbound in his arms (the greek isles series, #1)",angel sefer,7.7,mystery
cloudstreet,tim winton,8.02,history
"the sorcerer of the north (ranger's apprentice, #5)",john flanagan,8.54,fantasy
"through the ever night (under the never sky, #2)",veronica rossi,8.26,science fiction
"brownout - 666: a journey through sex, love and violence in the ultimate search",john richard spencer,8.76,drama
love auction: too risky to love again,sharon carter,8.64,romance
"the fairy next book (a fairy awesome story, #2)",ellie aiden,8.62,horror
"the fairiest fairy of them all (a fairy awesome story, #3)",ellie aiden,9.04,fantasy
a thousand acres,jane smiley,7.64,family
"crazy rich asians (crazy rich asians, #1)",kevin kwan,7.8,romance
"prince of thorns (the broken empire, #1)",mark  lawrence,7.68,fantasy
life... love... kumbh...,aporva kala,7.16,romance
the best and the brightest,david halberstam,8.52,history
the first 90 days: critical success strategies for new leaders at all levels,michael d. watkins,7.72,documentary
the seven husbands of evelyn hugo,taylor jenkins reid,8.88,romance
"river secrets (the books of bayern, #3)",shannon hale,8.1,fantasy
"the warrior's apprentice (vorkosigan saga, #2)",lois mcmaster bujold,8.54,science fiction
going bovine,libba bray,7.32,fantasy
snow,orhan pamuk,7.22,history
moneyball: the art of winning an unfair game,michael   lewis,8.52,documentary
out of the dust,karen hesse,7.54,history
the spitfire girls,soraya m. lane,8.66,history
"the secret of the old clock (nancy drew mystery stories, #1)",carolyn keene,7.96,mystery
"the winner's crime (the winner's trilogy, #2)",marie rutkoski,8.18,fantasy
"archenemies (renegades, #2)",marissa meyer,8.54,fantasy
the wall of winnipeg and me,mariana zapata,8.48,romance
the sheltering sky,paul bowles,7.8,history
the bridge of san luis rey,thornton wilder,7.58,history
أولاد حارتنا,نجيب محفوظ,8.18,history
travesuras de la niña mala,mario vargas llosa,8.24,romance
"the icebound land (ranger's apprentice, #3)",john flanagan,8.48,fantasy
"defy me (shatter me, #5)",tahereh mafi,8.58,fantasy
skinny legs and all,tom robbins,8.12,comedy
"the killing dance (anita blake, vampire hunter, #6)",laurell k. hamilton,8.26,fantasy
"aurora rising (the aurora cycle, #1)",amie kaufman,8.22,science fiction
kitchen confidential: adventures in the culinary underbelly,anthony bourdain,8.28,documentary
"king rat (asian saga, #4)",james clavell,8.36,history
rubáiyát of omar khayyám,omar khayyám,8.36,documentary
"enclave (razorland, #1)",ann aguirre,7.82,science fiction
"the screaming staircase (lockwood & co., #1)",jonathan stroud,8.48,fantasy
"the crown (the selection, #5)",kiera cass,7.28,romance
what alice forgot,liane moriarty,8.16,romance
the truth: stage adaptation,stephen briggs,8.5,fantasy
le morte d'arthur: king arthur and the legends of the round table,thomas malory,7.84,fantasy
"the grim grotto (a series of unfortunate events, #11)",lemony snicket,8.04,fantasy
"this savage song (monsters of verity, #1)",victoria schwab,8.08,fantasy
the book of occult,simon w. clark,7.3,horror
the lions of al-rassan,guy gavriel kay,8.6,fantasy
time's arrow,martin amis,7.52,history
the known world,edward p. jones,7.66,history
the postman always rings twice,james m. cain,7.54,mystery
the anthropocene reviewed,john green,8.74,documentary
almost transparent blue,ryū murakami,6.58,horror
"united we spy (gallagher girls, #6)",ally carter,8.88,mystery
"emily of new moon (emily, #1)",l.m. montgomery,8.22,history
paula,isabel allende,8.36,documentary
"grey (fifty shades as told by christian, #1)",e.l. james,7.64,romance
"the moses expedition (father anthony fowler, #2)",juan gómez-jurado,7.42,thriller
"the burning god (the poppy war, #3)",r.f. kuang,8.66,fantasy
"winter: a berlin family, 1899-1945 (bernard samson, #0)",len deighton,8.26,history
skeleton crew,stephen king,7.94,horror
the myth of sisyphus and other essays,albert camus,8.44,documentary
the meat market (jonathan harkon adventures #1),james chalk,7.38,science fiction
in defense of food: an eater's manifesto,michael pollan,8.14,documentary
walden & civil disobedience,henry david thoreau,7.88,documentary
glamorama,bret easton ellis,7.04,horror
"worm (parahumans, #1)",wildbow,9.22,fantasy
"here be dragons (welsh princes, #1)",sharon kay penman,8.58,history
"finding cinderella (hopeless, #2.5)",colleen hoover,8.06,romance
the kindly ones,jonathan littell,7.98,history
"the lost world (professor challenger, #1)",arthur conan doyle,7.86,science fiction
"the retribution of mara dyer (mara dyer, #3)",michelle hodkin,8.14,horror
going too far,jennifer echols,7.84,romance
yes please,amy poehler,7.68,documentary
sundays at tiffany's,james patterson,7.54,romance
"storm born (dark swan, #1)",richelle mead,7.78,fantasy
the diamond eye,kate quinn,8.58,history
the shock doctrine: the rise of disaster capitalism,naomi klein,8.52,documentary
"gorky park (arkady renko, #1)",martin cruz smith,8.08,mystery
uzumaki,junji ito,8.88,horror
confessions of an ugly stepsister,gregory maguire,7.08,fantasy
"twisted games (twisted, #2)",ana huang,8.26,romance
"hourglass (evernight, #3)",claudia gray,7.56,fantasy
the elementary particles,michel houellebecq,7.6,documentary
genghis khan and the making of the modern world,jack weatherford,8.1,history
"her final breath (tracy crosswhite, #2)",robert dugoni,8.62,mystery
a woman of no importance: the untold story of the american spy who helped win world war ii,sonia purnell,8.3,documentary
"patriot games (jack ryan, #1)",tom clancy,8.32,thriller
"beautiful world, where are you",sally rooney,7.1,romance
boy meets boy,david levithan,7.64,romance
the watsons go to birmingham - 1963,christopher paul curtis,7.98,history
"hannibal rising (hannibal lecter, #4)",thomas  harris,7.1,horror
the gods themselves,isaac asimov,8.18,science fiction
"austenland (austenland, #1)",shannon hale,7.1,romance
the lover,marguerite duras,7.46,romance
"night school (night school, #1)",c.j. daugherty,8.14,mystery
the leopard,giuseppe tomasi di lampedusa,8.02,history
"the hangman's daughter (the hangman's daughter, #1)",oliver pötzsch,7.5,history
the child thief,brom,8.18,fantasy
"radiant shadows (wicked lovely, #4)",melissa marr,7.94,fantasy
"before they are hanged (the first law, #2)",joe abercrombie,8.68,fantasy
"the curse of chalion (world of the five gods, #1)",lois mcmaster bujold,8.34,fantasy
a raisin in the sun,lorraine hansberry,7.7,drama
"the penderwicks: a summer tale of four sisters, two rabbits, and a very interesting boy (the penderwicks, #1)",jeanne birdsall,8.36,family
anxious people,fredrik backman,8.36,mystery
"the mote in god's eye (moties, #1)",larry niven,8.14,science fiction
time enough for love,robert a. heinlein,7.94,science fiction
abarat,clive barker,8.2,fantasy
entwined,heather dixon wallwork,7.72,fantasy
welcome to the monkey house,kurt vonnegut jr.,8.26,science fiction
"the amazing maurice and his educated rodents (discworld, #28)",terry pratchett,8.12,fantasy
"the devotion of suspect x (detective galileo, #1)",keigo higashino,8.32,mystery
an inquiry into the nature and causes of the wealth of nations,adam smith,7.76,documentary
the cheat code (wisdom revolution #3),misba,9.36,fantasy
the aleph and other stories,jorge luis borges,8.68,fantasy
vanishing acts,jodi picoult,7.42,mystery
snuff,chuck palahniuk,6.44,comedy
"the merchant of death (pendragon, #1)",d.j. machale,7.92,fantasy
"devil in winter (wallflowers, #3)",lisa kleypas,8.46,romance
breaking free,rachel jeffs,8.14,documentary
"knife of dreams (the wheel of time, #11)",robert jordan,8.36,fantasy
"the silkworm (cormoran strike, #2)",robert galbraith,8.1,mystery
"twisted love (twisted, #1)",ana huang,7.48,romance
playing to win: how strategy really works,a.g. lafley,7.96,documentary
business model generation,alexander osterwalder,8.4,documentary
the confidante: the untold story of the woman who helped win wwii and shape modern america,christopher c. gorham,8.62,history
"tiger's destiny (the tiger saga, #4)",colleen houck,8.74,fantasy
tooth for tooth (talion #2),j.k. franko,8.64,thriller
finding audrey,sophie kinsella,7.5,romance
measure what matters,john doerr,7.98,documentary
american sniper: the autobiography of the most lethal sniper in u.s. military history,chris kyle,8.04,documentary
kiss an angel,susan elizabeth phillips,8.36,romance
the storyteller,antonia michaelis,8.04,romance
"the call to serve (the serve, #1)",cece whittaker,8.48,history
the poisoner's handbook: murder and the birth of forensic medicine in jazz age new york,deborah blum,8.02,documentary
"a fistful of charms (the hollows, #4)",kim harrison,8.54,fantasy
i'm a stranger here myself: notes on returning to america after twenty years away,bill bryson,7.8,documentary
the memoirs of cleopatra,margaret george,8.38,history
the memory keeper of kyiv,erin litteken,8.94,history
the ancestor's tale: a pilgrimage to the dawn of evolution,richard dawkins,8.28,documentary
grifters,jim thompson,7.86,crime
median gray,bill mesce jr.,8.56,crime
"the viscount who loved me (bridgertons, #2)",julia quinn,8.06,romance
"the long way to a small, angry planet (wayfarers, #1)",becky  chambers,8.36,science fiction
lovely war,julie berry,8.48,history
"through the looking-glass and what alice found there (alice's adventures in wonderland, #2)",lewis carroll,8.04,fantasy
under the tuscan sun: at home in italy,frances mayes,7.54,documentary
the essential calvin and hobbes: a calvin and hobbes treasury,bill watterson,9.28,animation
princess: a true story of life behind the veil in saudi arabia,jean sasson,8.04,documentary
moon tiger,penelope lively,7.8,history
the island,victoria hislop,8.18,history
the motorcycle diaries: notes on a latin american journey,ernesto che guevara,7.56,documentary
the lighthouse effect: how ordinary people can have an extraordinary impact in the world,steve  pemberton,8.62,documentary
the killer inside me,jim thompson,7.72,crime
beneath a scarlet sky,mark t. sullivan,8.86,history
"losing it (losing it, #1)",cora carmack,7.44,romance
heir of broken fate,mads rafferty,7.4,fantasy
lights on the sea,miquel reina,7.94,fantasy
"the darkest hour (warriors, #6)",erin hunter,9.08,fantasy
"rules of prey (lucas davenport, #1)",john sandford,8.22,mystery
"crossroads and the dominion of four (crossroads, #2)",c. toni graham,8.52,fantasy
the first fifteen lives of harry august,claire north,8.06,science fiction
the girl who drank the moon,kelly barnhill,8.24,fantasy
nutshell,ian mcewan,7.36,mystery
"the declaration (the declaration, #1)",gemma malley,7.42,science fiction
the power of habit: why we do what we do in life and business,charles duhigg,8.26,documentary
"a fire upon the deep (zones of thought, #1)",vernor vinge,8.26,science fiction
naked,david sedaris,8.18,comedy
the chronicle of sapta sindhu,aporva kala,7.06,war
слънце недосегаемо,николай теллалов,8.22,fantasy
out stealing horses,per petterson,7.6,history
"i have never (first comes love, #2)",camilla isley,7.96,romance
"the white dragon (pern: dragonriders of pern, #3)",anne mccaffrey,8.38,fantasy
"understanding china: learning from china's past, present, and future",stefan piech,7.82,history
the overstory,richard powers,8.24,history
"eternal kiss of darkness (night huntress world, #2)",jeaniene frost,8.42,fantasy
"the tombs of atuan (earthsea cycle, #2)",ursula k. le guin,8.24,fantasy
the seven husbands of evelyn hugo,taylor jenkins reid,8.88,romance
how high we go in the dark,sequoia nagamatsu,7.68,science fiction
"narcissus in chains (anita blake, vampire hunter, #10)",laurell k. hamilton,7.84,fantasy
if we were villains,m.l. rio,8.4,mystery
"the lord god made them all (all creatures great and small, #7)",james herriot,8.86,documentary
the distant hours,kate morton,7.76,history
stolen innocence,elissa wall,7.86,documentary
"the monarch's ring (the lost artefacts, #2)",johnathon nicolaou,8.92,fantasy
of love and other demons,gabriel garcía márquez,7.94,history
"dreamless (starcrossed, #2)",josephine angelini,8.36,fantasy
"prisoners of the castle: an epic story of survival and escape from colditz, the nazis' fortress prison",ben macintyre,8.56,history
"the bomber mafia: a dream, a temptation, and the longest night of the second world war",malcolm gladwell,8.06,history
frisk,dennis cooper,7.34,horror
lord of light,roger zelazny,8.12,science fiction
remember me?,sophie kinsella,7.6,romance
the american girl (maureen ritter #1),eoin dempsey,8.98,history
"speaking for myself: faith, freedom, and the fight of our lives inside the trump white house",sarah huckabee sanders,8.86,documentary
tail of the devil  (mathias drvar #1),danielle devor,8.12,fantasy
purple hibiscus,chimamanda ngozi adichie,8.36,history
1984,george orwell,8.38,science fiction
"triptych (will trent, #1)",karin slaughter,8.26,mystery
two can keep a secret,karen m. mcmanus,7.88,mystery
the essential rumi,rumi,8.78,documentary
the cow in the parking lot: a zen approach to overcoming anger,leonard scheff,7.98,documentary
heaven official's blessing: tian guan ci fu (novel) vol. 1,mò xiāng tóng xiù,9.3,fantasy
the club dumas,arturo pérez-reverte,7.62,mystery
the demigod diaries,rick riordan,8.28,fantasy
eye for eye (talion #1),j.k. franko,8.56,thriller
forever amber,kathleen winsor,7.98,history
"paradise (paradise, #1)",judith mcnaught,8.6,romance
"gabriel's redemption (gabriel's inferno, #3)",sylvain reynard,8.4,romance
"styxx (dark-hunter, #22)",sherrilyn kenyon,9.16,romance
"jessica's guide to dating on the dark side (jessica, #1)",beth fantaskey,7.68,fantasy
"addicted to you (addicted, #1)",krista ritchie,7.58,romance
the other side of midnight (midnight #1),sidney sheldon,7.9,thriller
mein kampf,adolf hitler,6.36,history
"no rest for the wicked (immortals after dark, #2)",kresley cole,8.54,romance
"rivers of london (rivers of london, #1)",ben aaronovitch,7.74,fantasy
"wolf brother (chronicles of ancient darkness, #1)",michelle paver,8.4,fantasy
"on the banks of plum creek (little house, #4)",laura ingalls wilder,8.44,history
"arrows of the queen (heralds of valdemar, #1)",mercedes lackey,8.26,fantasy
the paris apartment,lucy foley,7.34,mystery
the black dagger brotherhood: an insider's guide,j.r. ward,8.62,fantasy
"magic slays (kate daniels, #5)",ilona andrews,8.8,fantasy
alcoholics anonymous,alcoholics anonymous,8.98,documentary
"love on the line (women at work, #1)",kirsten fullmer,8.54,romance
phantoms,dean koontz,7.92,horror
"calvin and hobbes (calvin and hobbes, #1)",bill watterson,9.2,animation
"son (the giver, #4)",lois lowry,7.98,science fiction
"the blinding knife (lightbringer, #2)",brent weeks,8.84,fantasy
"the walking dead, vol. 1: days gone bye",robert kirkman,8.54,animation
the perfect child,lucinda berry,8.12,thriller
"lord foul's bane (the chronicles of thomas covenant the unbeliever, #1)",stephen r. donaldson,7.44,fantasy
concrete island,j.g. ballard,7.34,science fiction
"the magic faraway tree (the faraway tree, #2)",enid blyton,8.58,fantasy
life and fate,vasily grossman,8.88,history
the orange girl,jostein gaarder,7.82,documentary
a promised land,barack obama,8.68,documentary
"the dark is rising (the dark is rising, #2)",susan cooper,8.12,fantasy
"grave peril (the dresden files, #3)",jim butcher,8.28,fantasy
half the sky: turning oppression into opportunity for women worldwide,nicholas d. kristof,8.56,documentary
sh*t my dad says,justin halpern,7.96,comedy
the total money makeover: a proven plan for financial fitness,dave ramsey,8.46,documentary
"city of golden shadow (otherland, #1)",tad williams,7.84,fantasy
in the time of the butterflies,julia alvarez,8.3,history
"ghost town (the morganville vampires, #9)",rachel caine,8.5,fantasy
"the secret hour (midnighters, #1)",scott westerfeld,7.62,fantasy
the complete fairy tales,oscar wilde,8.64,fantasy
"capital: a critique of political economy, volume 1",karl marx,8.54,documentary
"the lying game (the lying game, #1)",sara shepard,7.82,mystery
not okay,brett axel,8.9,horror
the tell-tale heart,edgar allan poe,8.48,horror
"the strain (the strain trilogy, #1)",guillermo del toro,7.58,horror
under the bus,kyle keyes,8.44,mystery
"dealing with dragons (enchanted forest chronicles, #1)",patricia c. wrede,8.32,fantasy
"blood in the skies (the hellfire chronicles, #1)",g.d. falksen,7.3,fantasy
"in the afterlight (the darkest minds, #3)",alexandra bracken,8.5,science fiction
the lacuna,barbara kingsolver,7.6,history
winter's tale,mark helprin,7.02,fantasy
"fallen crest high (fallen crest high, #1)",tijan,8.16,romance
stories of your life and others,ted chiang,8.52,science fiction
batman: year one,frank miller,8.46,animation
brooklyn,colm tóibín,7.38,history
don't look back,jennifer l. armentrout,8.2,mystery
"squire (protector of the small, #3)",tamora pierce,8.6,fantasy
"mack (the king, #4)",mimi jean pamfiloff,8.42,horror
isabella warrior queen,michael g. kramer,8.7,history
endless night,richard laymon,7.86,horror
"queen of the darkness (the black jewels, #3)",anne bishop,8.74,fantasy
go set a watchman,harper lee,6.62,history
الأسود يليق بك,ahlam mosteghanemi,7.28,romance
"raw (raw family, #1)",belle aurora,8.3,drama
ordinary people,judith guest,7.84,documentary
"erak's ransom (ranger's apprentice, #7)",john flanagan,8.66,fantasy
"all systems red (the murderbot diaries, #1)",martha wells,8.32,science fiction
a constellation of vital phenomena,anthony marra,8.22,history
the fever,megan abbott,6.2,mystery
the twilight saga complete collection,stephenie meyer,8.68,fantasy
voices from chernobyl: the oral history of a nuclear disaster,svetlana alexievich,8.82,documentary
"the end of faith: religion, terror, and the future of reason",sam harris,7.78,documentary
"twice bitten (chicagoland vampires, #3)",chloe neill,8.4,fantasy
"rodrick rules (diary of a wimpy kid, #2)",jeff kinney,8.3,comedy
the mosquito bowl: a game of life and death in world war ii,buzz bissinger,7.66,documentary
"the secret of the nagas (shiva trilogy, #2)",amish tripathi,8.18,fantasy
"theft of swords (the riyria revelations, #1-2)",michael j. sullivan,8.44,fantasy
"destined (house of night, #9)",p.c. cast,8.06,fantasy
batman: the long halloween,jeph loeb,8.66,animation
antifragile: things that gain from disorder,nassim nicholas taleb,8.18,documentary
winter garden,kristin hannah,8.5,history
the arrival,shaun tan,8.7,animation
"soul of the fire (sword of truth, #5)",terry goodkind,7.74,fantasy
"the dragonriders of pern (dragonriders of pern, #1-3)",anne mccaffrey,8.54,fantasy
esv study bible,anonymous,9.44,documentary
the man in the brown suit,agatha christie,7.92,mystery
"imagine me (shatter me, #6)",tahereh mafi,7.98,fantasy
the golden bowl,henry james,7.56,history
"devil may cry (dark-hunter, #11)",sherrilyn kenyon,8.6,romance
the dark tower series: books 1-7,stephen king,9.24,fantasy
"abraham lincoln: vampire hunter (abraham lincoln: vampire hunter, #1)",seth grahame-smith,7.42,fantasy
die physiker,friedrich dürrenmatt,7.82,drama
the mermaid chair,sue monk kidd,6.4,romance
the girl in the garden,melanie wallace,6.86,history
"fairest (the lunar chronicles, #3.5)",marissa meyer,7.92,fantasy
"the pale horseman (the saxon stories, #2)",bernard cornwell,8.6,history
hell house,richard matheson,7.52,horror
all good people here,ashley flowers,7.7,mystery
my sister's betrayal,roberta kagan,8.38,history
dom casmurro,machado de assis,8.64,romance
still missing,chevy stevens,7.98,thriller
"unenchanted (an unfortunate fairy tale, #1)",chanda hahn,7.8,fantasy
the room,hubert selby jr.,7.4,horror
"a merciful death (mercy kilpatrick, #1)",kendra elliot,8.34,mystery
"gardens of the moon (malazan book of the fallen, #1)",steven erikson,7.84,fantasy
"restore me (shatter me, #4)",tahereh mafi,8.36,fantasy
the cost of discipleship,dietrich bonhoeffer,8.58,documentary
الإسلام بين الشرق والغرب,alija izetbegović,8.94,documentary
"genghis: birth of an empire (conqueror, #1)",conn iggulden,8.76,history
"the 100 (the 100, #1)",kass morgan,7.14,science fiction
"the recruit (cherub, #1)",robert muchamore,8.46,adventure
the opposite of loneliness: essays and stories,marina keegan,7.7,documentary
pleasant day,vera jane cook,8.62,thriller
we wish to inform you that tomorrow we will be killed with our families,philip gourevitch,8.4,documentary
inside out & back again,thanhhà lại,8.26,history
my cousin rachel,daphne du maurier,7.98,mystery
"the necromancer  (the secrets of the immortal nicholas flamel, #4)",michael scott,8.28,fantasy
the basketball diaries,jim carroll,7.98,documentary
my unbeating heart,eli wilde,8.62,horror
a street cat named bob: how one man and his cat found hope on the streets,james bowen,7.94,documentary
broken,shy keenan,8.5,documentary
the sea wolf,jack london,8.1,adventure
"elixir (covenant, #3.5)",jennifer l. armentrout,8.7,fantasy
esperanza rising,pam muñoz ryan,8.06,history
"the siege of macindaw (ranger's apprentice, #6)",john flanagan,8.68,fantasy
the poetry of pablo neruda,pablo neruda,8.88,romance
"sweet reckoning (sweet, #3)",wendy higgins,8.58,horror
la vida es sueño,pedro calderón de la barca,7.86,drama
"the runaway king (ascendance, #2)",jennifer a. nielsen,8.48,fantasy
what if? serious scientific answers to absurd hypothetical questions,randall munroe,8.28,documentary
leonardo da vinci,walter isaacson,8.38,documentary
dry,augusten burroughs,8.04,documentary
"in the hand of the goddess (song of the lioness, #2)",tamora pierce,8.46,fantasy
the crow road,iain banks,8.16,mystery
"touch of frost (mythos academy, #1)",jennifer estep,7.9,fantasy
"bridget jones: the edge of reason (bridget jones, #2)",helen fielding,7.22,romance
"fracture me (shatter me, #2.5)",tahereh mafi,6.76,fantasy
at the mountains of madness,h.p. lovecraft,7.66,horror
flow: the psychology of optimal experience,mihaly csikszentmihalyi,8.2,documentary
democracy in america,alexis de tocqueville,8.08,history
"playing with fire (skulduggery pleasant, #2)",derek landy,8.6,fantasy
melania and me: the rise and fall of my friendship with the first lady,stephanie winston wolkoff,6.44,documentary
"poison princess (the arcana chronicles, #1)",kresley cole,8.24,fantasy
"the sandman, vol. 7: brief lives",neil gaiman,9.1,animation
we were the mulvaneys,joyce carol oates,7.48,family
saving ceecee honeycutt,beth hoffman,7.9,history
"charmed life (chrestomanci, #1)",diana wynne jones,7.92,fantasy
"winter's heart (the wheel of time, #9)",robert jordan,7.92,fantasy
the worst hard time: the untold story of those who survived the great american dust bowl,timothy egan,8.1,history
the running man,richard bachman,7.78,horror
imperial bedrooms,bret easton ellis,6.38,horror
"vain (the seven deadly, #1)",fisher amelie,8.44,romance
lectures on faith,joseph smith jr.,8.98,documentary
"the time paradox (artemis fowl, #6)",eoin colfer,8.16,fantasy
the coven of deeds,malcolm mccoard,8.64,fantasy
pilgrim at tinker creek,annie dillard,8.18,documentary
bone: the complete edition,jeff smith,8.9,animation
"they shoot horses, don't they?",horace mccoy,7.7,crime
the nanny song,misty mount,8.48,romance
i dream of yellow kites: what if it was all just a nightmare?,retta bono,7.86,horror
"succubus on top (georgina kincaid, #2)",richelle mead,8.1,fantasy
"the siren (the original sinners, #1)",tiffany reisz,8.04,romance
britt-marie was here,fredrik backman,8.18,comedy
"ghost hunter (chronicles of ancient darkness, #6)",michelle paver,8.82,fantasy
"tokyo ghoul, tome 1 (tokyo ghoul, #1)",sui ishida,8.82,horror
"what happened to you?: conversations on trauma, resilience, and healing",bruce d. perry,8.92,documentary
the jungle book,rudyard kipling,7.82,fantasy
maya's magical adventures,malcolm mccoard,9.16,fantasy
"the darkest kiss (lords of the underworld, #2)",gena showalter,8.48,romance
motherless brooklyn,jonathan lethem,7.72,mystery
"the kings of clonmel (ranger's apprentice, #8)",john flanagan,8.6,fantasy
"crime (ray lennox, #1)",irvine welsh,7.2,crime
the grace year,kim liggett,8.3,science fiction
the botany of desire: a plant's-eye view of the world,michael pollan,8.12,documentary
