title,overview,rating,genre
reservoir dogs,"a botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. crime begets violence as the survivors -- veteran mr. white, newcomer mr. orange, psychopathic parolee mr. blonde, bickering weasel mr. pink and nice guy eddie -- unravel.",8.1,crime
"three billboards outside ebbing, missouri","after seven months have passed without a culprit in her daughter's murder case, mildred hayes makes a bold move, painting three signs leading into her town with a controversial message directed at bill willoughby, the town's revered chief of police. when his second-in-command officer jason dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between mildred and ebbing's law enforcement is only exacerbated.",8.1,crime
rashomon,"brimming with action while incisively examining the nature of truth, ""rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. through an ingenious use of camera and flashbacks, kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.",8.1,crime
double indemnity,"a rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy. against a backdrop of distinctly californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays double if the death is accidental.",8.1,crime
the wolf of wall street,"a new york stockbroker refuses to cooperate in a large securities fraud case involving corruption on wall street, corporate banking world and mob infiltration. based on jordan belfort's autobiography.",8.0,crime
casino,"in early-1970s las vegas, sam ""ace"" rothstein gets tapped by his bosses to head the tangiers casino. at first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer nicky santoro, his ex-hustler wife ginger, her con-artist ex lester diamond and a handful of corrupt politicians put sam in ever-increasing danger.",8.0,crime
the goldman case,"in 1976, the second trial of pierre goldman, a far-left activist suspected of killing two pharmacists during a robbery gone wrong, was held. the case mobilized many media figures.",8.0,crime
the secret in their eyes,a retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,8.0,crime
no country for old men,"llewelyn moss stumbles upon dead bodies, $2 million and a hoard of heroin in a texas desert, but methodical killer anton chigurh comes looking for it, with local sheriff ed tom bell hot on his trail. the roles of prey and predator blur as the violent pursuit of money and justice collide.",7.9,crime
sherlock: the abominable bride,sherlock holmes and dr. watson find themselves in 1890s london in this holiday special.,7.9,crime
stand by me,"gordie, chris, teddy and vern are four friends who decide to hike to find the corpse of ray brower, a local teenager, who was hit by a train while plucking blueberries in the wild.",7.9,crime
freedom writers,"a young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",7.9,crime
fargo,"jerry, a small-town minnesota car salesman is bursting at the seams with debt... but he's got a plan. he's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. it's going to be a snap and nobody's going to get hurt... until people start dying. enter police chief marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. and if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",7.9,crime
chinatown,"private eye jake gittes lives off of the murky moral climate of sunbaked, pre-world war ii southern california. hired by a beautiful socialite to investigate her husband's extra-marital affair, gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",7.9,crime
on the waterfront,"terry malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for johnny friendly, the corrupt boss of the dockers union. terry witnesses a murder by two of johnny's thugs, and later meets the dead man's sister and feels responsible for his death. she introduces him to father barry, who tries to force him to provide information for the courts that will smash the dock racketeers.",7.9,crime
the night of the hunter,"in the deep south, a serial-killing preacher hunts two young children who know the whereabouts of a stash of money.",7.9,crime
"the gangster, the cop, the devil","after barely surviving a violent attack by an elusive serial killer, crime boss jang dong-su finds himself forming an unlikely partnership with local detective jung tae-seok to catch the sadistic killer simply known as k.",7.8,crime
girl in the basement,"sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father don. but before she could even blow out the candles, don imprisons her in the basement of their home.",7.8,crime
the untouchables,"young treasury agent eliot ness arrives in chicago and is determined to take down al capone, but it's not going to be easy because capone has the police in his pocket. ness meets jim malone, a veteran patrolman and probably the most honorable one on the force. he asks malone to help him get capone, but malone warns him that if he goes after capone, he is going to war.",7.8,crime
snatch,"unscrupulous boxing promoters, violent bookmakers, a russian gangster, incompetent amateur robbers and supposedly jewish jewelers fight to track down a priceless stolen diamond.",7.8,crime
the chaser,"joong-ho is a dirty detective turned pimp in financial trouble as several of his girls have recently disappeared without clearing their debts. while trying to track them down, he finds a clue that the vanished girls were all called up by the same client whom one of his girls is meeting with right now.",7.8,crime
cool hand luke,"when petty criminal luke jackson is sentenced to two years in a florida prison farm, he doesn't play by the rules of either the sadistic warden or the yard's resident heavy, dragline, who ends up admiring the new guy's unbreakable will. luke's bravado, even in the face of repeated stints in the prison's dreaded solitary confinement cell, ""the box,"" make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers.",7.8,crime
carlito's way,"a puerto-rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside nyc.",7.8,crime
dog day afternoon,"based on the true story of would-be brooklyn bank robbers john wojtowicz and salvatore naturale. sonny and sal attempt a bank heist which quickly turns sour and escalates into a hostage situation and stand-off with the police. as sonny's motives for the robbery are slowly revealed and things become more complicated, the heist turns into a media circus.",7.8,crime
papillon,"a man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",7.8,crime
l.a. confidential,three detectives in the corrupt and brutal l.a. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.,7.8,crime
touch of evil,"when a car bomb explodes on the american side of the u.s./mexico border, mexican drug enforcement agent miguel vargas begins his investigation, along with american police captain hank quinlan. when vargas begins to suspect that quinlan and his shady partner, menzies, are planting evidence to frame an innocent man, his investigations into their possible corruption quickly put himself and his new bride, susie, in jeopardy.",7.8,crime
v.i.p.,"a son to a high-ranked official in north korea commits a series of murders going across the countries around the world. the movie depicts the following events as south korea, north korea and interpol start chasing down after him.",7.8,crime
dogville,"a mysterious woman named grace hides in a small mountain town from criminals who pursue her. the town is two-faced and offers to harbor grace as long as she can make it worth their effort, so grace works hard under the employ of various townspeople to win their favor. tensions flare, however, and grace's status as a helpless outsider provokes vicious contempt and abuse from the citizens of dogville.",7.8,crime
anatomy of a murder,"semi-retired michigan lawyer paul biegler takes the case of army lt. manion, who murdered a local innkeeper after his wife claimed that he raped her. over the course of an extensive trial, biegler parries with district attorney lodwick and out-of-town prosecutor claude dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.",7.8,crime
sheep without a shepherd,"li and his wife a yu run a small business in thailand and enjoy a happy home life with their two daughters. when their eldest daughter is violently assaulted, blackmailed and left traumatised by another student, her parents intervene, leading to a dead body which needs to be hidden, and every trace of the boy buried to cover up the accident.",7.8,crime
