title,authors,overview,price(€),genre
Luck,Kathy Biggs,"Set in 1930s Midwest America. An intricately woven tale of joy, heartbreak, betrayal and murder in this epic family saga with a gripping mystery at its heart.",€16.09,historical
Glass House,Jody Cooksley,"An historical novel based on the life of pioneering photographer, Julia Margaret Cameron.",€11.08,historical
Christmas with the Teashop Girls,Elaine Everest,"Set in the Second World War, this is a moving story about hope, love and loss, by bestselling author Elaine Everest",€11.98,historical
Pull of the Stars,Emma Donoghue,"Dublin, 1918: three days in a maternity ward at the height of the Great Flu. A small world of work, risk, death, and unlooked-for love, by the bestselling author of The Wonder and Room.",€13.11,historical
Halfpenny Girls at Christmas,Maggie Mason,The second novel in a brand new saga series set in the north of England from the bestselling author MARY WOOD writing as the much-loved Maggie Mason,€29.11,historical
Hidden Child,Louise Fein,In 1920s London a perfect family faces ruin if the truth about their daughter is revealed.,€15.81,historical
Hidden in Plain Sight,Jeffrey Archer,"From number one bestseller and author of the Clifton Chronicles, Jeffrey Archer, Hidden in Plain Sight is the extraordinary second novel featuring William Warwick.",€24.87,historical
Swindler`s Daughter,Stephenia H. Mcgee,"When she learns the father she thought long dead has died in prison, Lilian Doyle is left with an unusual inheritance occupied by a standoffish cowboy. Setting matters straight sends her on a path of dangerous secrets and a choice that will change her life forever.",€15.07,historical
Wedding Dress Sewing Circle,Jennifer Ryan,"The Great British Sewing Bee meets the Second World War in Jennifer Ryan's warm, charming and nostalgic novel The Wedding Dress Sewing Circle.",€12.63,historical
Shadows of Swanford Abbey,Julie Klassen,"In pursuit of an author who could help get her brother published, Rebecca Lane stays at Swanford Abbey, a grand hotel rumored to be haunted. It is there she encounters Sir Frederick--the man who broke her heart. When a mysterious death occurs, Rebecca is one of the suspects, and Frederick is torn between his feelings for her and his search for the truth.",€14.25,historical
Golden Hill,Francis Spufford,"I've no history here, and no character: and what I am, is all in what I will be...",€22.69,historical
The Maids of Biddenden,GD Harper,The imagined biography of medieval Kent's real-life conjoined twins.,€12.86,historical
Dressmaker of Paris,Georgia Kaufmann,A stunning historical women's fiction novel that spans both time and the globe as we follow one woman's journey from simple country girl to global fashion icon.,€74.98€86.34,historical
The Woolworths Saturday Girls,Elaine Everest,The Woolworth Saturday Girls is the compelling seventh installment in bestselling author Elaine Everest's Woolworths series.,€12.26,historical
Silmarillion,J. R. R. Tolkien,"To celebrate the 30th anniversary of first publication, a new de luxe edition of The Silmarillion, featuring the revised, reset text, a colour frontispiece illustration, bound in special materials and presented in a matching slipcase.",€24.56,historical
Botanist's Daughter,Kayte Nunn,"A gripping historical novel that brings to life the dangerous world of Victorian plant-hunters and a long-buried secret that could have deadly consequences. Fans of Natasha Lester, Emily Gunnis and Kate Morton will adore this powerful debut novel.",€10.35,historical
House With the Golden Door,Elodie Harper,"We return to Pompeii for the second instalment in Elodie Harper's Wolf Den Trilogy, reimagining the lives of the women from the town's lupanar. Amara has escaped the wolf den but she is not free from the troubles of her past.",€13.75,historical
Patchwork Girls,Elaine Everest,"A moving novel about the strong bonds of female friendship from Elaine Everest, the author of the Woolworths Girls series.",€13.62,historical
Prince and the Prodigal,Jill Eileen Smith,"Two brothers among twelve. One pampered. One petulant. After a stunning betrayal, Judah struggles to forget what he's done while Joseph attempts to move on from what's been done to him. Is there hope for reconciliation for one of Egypt's most powerful men and his wayward brother?",€9.87€11.50,historical
Story Keeper,Anna Mazzola,The spellbinding second novel from the author of the acclaimed THE UNSEEING - for any reader of THE WITCH FINDER'S SISTER,€12.40,historical
The Girl with the Scarlet Ribbon,Glenda Young,"A compelling saga filled with romance, drama and tragedy, ideal for lovers of Dilly Court and Rosie Goodwin.",€12.89,historical
Helsingør Sewing Club,Ella Gyland,Inspired by the incredible true story of how the people of Denmark saved their Jewish neighbours during WW2,€11.29,historical
Painter of Souls,Philip Kazan,One man. One painter. One life. Or so you might think...,€12.98,historical
Tuscan Contessa,Dinah Jefferies,ONE WAR. TWO WOMEN. WILL THEY BE ABLE TO SAVE THE ONES THEY LOVE?...,€11.48,historical
Christmas with the Bobby Girls,Johanna Bell,"The third book in an uplifting, lively saga series centered around women entering the world of policing for the first time, set at the outbreak of the First World War.",€19.91,historical
A Gift in December,Jenny Gladwell,"Love can grow anywhere in this cosy, romantic tale inspired by London's most famous Christmas tree.",€10.99,historical
The Perfect Guests,Emma Rous,"From the author of The Au Pair comes an enthralling time-slip mystery about two women, one house and a lifetime of secrets, perfect for fans of The Guest List and The Family Upstairs.",€17.14,historical
Girl in the Pink Raincoat,Alrene Hughes,"A wartime saga set in Manchester, following the lives and loves of workers in Rosenberg's raincoat factory.",€20.69,historical
Heart`s Charge,Karen Witemeyer,"On a mission to deliver a baby to a nearby foundling home, Mark Wallace and Jonah Brooks encounter two women who capture their attention. When a handful of children from the area go missing, a pair of Horsemen are exactly what the women need. As they work together to find the children, will these two couples find love as well?",€11.87,historical
Forty Rules of Love,Elif Shafak,"The bestselling author of ""The Bastard of Instanbul"" returns with a lyrical, imaginative new novel about the famous Sufi mystic Rumi.",€19.39,historical
Gone with the Wind,Margaret Mitchell,Tomorrow is another day . . .,€10.64,historical
Mischling,Affinity Konar,"Garlanded with feverish quotes from Pulitzer Prize winners to Man Booker nominees, Mischling is an astonishing, bold imagining of Auschwitz and those small moments of hope and beauty that light the dark.",€16.23,historical
Memory of Violets,Hazel Gaynor,"For Tilly, the appointment is a fresh start, a chance to leave her troubled past behind.Soon after she arrives at the home, Tilly finds a notebook belonging to Flora Flynn.",€12.80,historical
Nucleus,Rory Clements,"The eve of war: a secret so deadly, nothing and no one is safe...The gripping new spy thriller from the bestselling author of Corpus.",€27.24,historical
Where the River Parts,Radhika Dogra Swarup,"In the final days of the British Raj a young Hindu woman, Asha, is deeply in love with Firoze, a Muslim, but with Partition she and her family must flee. In 1998, the newly widowed Asha travels to New York to visit her granddaughter, who is to marry a Pakistani Muslim called Hussain and learns that his grand-uncle is Firoze.",€24.68,historical
The Song of Achilles,Madeline Miller,"A breathtakingly original rendering of the Trojan War - a devastating love story and a tale of gods and kings, immortal fame and the human heart",€17.59,historical
Kon Tiki,"Thor Heyerdahl, F. H. Lyon",Photographs illustrate the author's account of his voyage from Peru to Tahiti on a balsa raft to test a theory concerning the origins of the Polynesian race.,€11.24,historical
Small Things Like These,Claire Keegan,"In the run-up to Christmas 1985, Bill Furlong is making his usual rounds as he faces his busiest season. But a visit to the convent leads to a sinister encounter he can't forget. Should he speak out and try to right a terrible injustice? Or should he remain silent, looking the other way like the rest of his community? With his own family to look after and bills to pay, should he really be worrying...",€22.79,historical
Trouble Boys,E. R. Fallon,"The Godfather meets Elena Ferrante's Neapolitan novels, but with Gaelic complications, in E.R.Fallon's thrilling new novel.",€27.98,historical
On My Honor,Hall,Meet a Girl Scout leader and her troop who protect their Outer Banks home from a German invasion during the Battle of the Atlantic.,€21.43,historical
Night Circus,Erin Morgenstern,"When the tents are all aglow, sparkling against the night sky, the sign appears.
Le Cirque des Rêves
The Circus of Dreams.
Now the circus is open.
Now you may enter.
The Starless Sea, the magical second novel from the author of the The Night Circus, is available for pre-order now",none,historical
Camelot's Queen,Nicole Evelina,This highly anticipated sequel to Daughter of Destiny proves there is much more to Guinevere's story than her marriage and an affair. See the legend you think you know through her eyes and live the adventure of Camelot's golden days yourself - but be prepared to suffer its downfall as well.,none,historical
Uleyli-The Princess & Pirate (A Junior Graphic Novel),"Daniels, Mitra","This graphic novel was inspired by the true story of a young Native American woman, Uleyli, known as Florida's Pocahontas. The beautiful full-color illustrations paint a picture of life in 16th-century Native American villages in what is now the southeastern U.S. The story celebrates Uleyle's creativity and nonviolent heroism.",none,historical
Wyvern Ring,William Francis,"England in 1360. The Pestilence is killing thousands, undermining the authority of Church and king. Cemeteries are full, burial pits overflowing. Prayers beseeching God's mercy, remain unanswered. Unceasing horror...",none,historical
Travels of IBN Fudayl,George R. Sole,"The Travels of Ibn Fudayl is a satirical tale written in the style of an academic who has translated a medieval manuscript. It comes complete with foreword, introduction, bibliography and copious footnotes that poke fun at the pretentious world of academia, whilst chronicling Ibn Fudayl's experiences in Al-Andalus.",none,historical
Study in Drowning,Ava Reid,"From Sunday Times bestselling author, Ava Reid's YA dark academic fantasy is The Hazel Wood meets A Deadly Education....",none,historical
King and Her Children,Duckworth,"Hatchepsut, the Pharaoh's daughter, finds and adopts an abandoned infant when she is still a child herself, and does not understand the enormity of her action. Her ambition for him drives her to seize the throne, becoming the king Egypt needs, so she can raise him to rule the proudest Empire on earth.",none,historical
Actium's Wake,Ralph Jackman,"Rome, 31BC. A century of civil wars has torn apart the Republic. Now, even the great general Mark Antony has betrayed the Senate, siding with the Egyptian Queen Cleopatra. In this struggle for power, Senator Marcus Rutilius Crispus, a staunch republican, has thrown in his lot with Octavian, Rome's leading man. The final war of the conflict will be decided at Actium. In the chaos of the battle at...",none,historical
Laws of Gartsherrie,A. J. Morris,"Set in the first quarter of the twentieth century THE LAWS of GARTSHERRIE follows the lives of two families, living and working in the Iron and Steel community of Gartsherrie, Coatbridge, Scotland. The plot is set against the background of the Suffragette movement and the World War.",none,historical
Legacy of the Lynx,Clio Gray,"Scotland and Ireland 1798. Three people, two murders, one oath.",none,historical
Single Soldier,George Costigan,"It is said that home is where the heart is, but when war rips a young man from everythig he knows and loves, will he be able to find his way back to everything that matters?",none,historical
"Tracks, Racing the Sun",Sandro Martini,"An historical novel about the birth of motor racing, based on the true story of rivalry between two Italian champions and their compatriots in the years leading up to World War II.",none,historical
Daisy Belle,Caitlin Davies,"A tale of love, betrayal and swimming based on the true stories of champion Victorian women.",none,historical
Machines Like Me,Ian McEwan (author),"Our foremost storyteller returns with an audacious new novel, Machines Like Me.
Britain has lost the Falklands war, Margaret Thatcher battles Tony Benn for power and Alan Turing achieves a breakthrough in artificial intelligence. In a world not quite like this one, two lovers will be tested beyond their understanding.
Machines Like Me occurs in an alternative 1980s London.
Charlie, drifting through life and dodging full-time employment, is in love with Miranda, a bright student who lives with a terrible secret. When Charlie comes into money, he buys Adam, one of the first batch of synthetic humans. With Miranda's assistance, he co-designs Adam's personality. This near-perfect human is beautiful, strong and clever ? a love triangle soon forms. These three beings will confront a profound moral dilemma.
Ian McEwan's subversive and entertaining new novel poses fundamental questions: what makes us human? Our outward deeds or our inner lives? Could a machine understand the human heart? This provocative and thrilling tale warns of the power to invent things beyond our control.",none,historical
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
none,none,none,none,horror
Silence of the Girls,Pat Barker,"The greatest war story in literature, retold by our greatest living storyteller on war - in the voice of the forgotten woman who lived through it...",€13.07,myth
Clytemnestra,Costanza Casati,"Giving voice to a woman condemned by history, this debut is an epic feminist retelling of the story of notorious Spartan queen, Clytemnestra....",€23.93,myth
Spin the Dawn,Elizabeth Lim,"Project Runway meets Mulan in this sweeping fantasy about a young girl who poses as a boy to compete for the role of imperial tailor and embarks on an impossible journey to sew three magic dresses, from the sun, the moon, and the stars.",€13.35,myth
Song of Achilles,Madeline Miller,"Traditional Chinese edition of A Song of Achillis, Amazon Best Books of the Month, March 2012. In Traditional Chinese. Annotation copyright Tsai Fong Books, Inc. Distributed by Tsai Fong Books, Inc.",€12.89,myth
Truly Madly Guilty,Liane Moriarty,"From the bestselling author behind the addictive, EMMY and GOLDEN GLOBE-winning HBO sensation BIG LITTLE LIES comes a cocktail of family, friendship, and the fear of what could have been . . ....",€14.34,myth
Me Before You,Jojo Moyes,Lou Clark knows lots of things. She knows how many footsteps there are between the bus stop and home. She knows she likes working in The Buttered Bun tea shop and she knows she might not love her boyfriend Patrick. What Lou doesn't know is she's about to lose her job or that knowing what's coming is what keeps her sane.,€14.55,myth
Beach Holiday,Isabelle Broom,"When a struggling writer meets a Hollywood actor in The Hamptons, she decides to use his life as the basis for a love story - but her pursuit of success comes at a price . . .",€11.49,myth
Great Goddesses,Nikita Gill,"Empowering life lessons from myths and monsters.
Wonder at Medusa's potent venom, Circe's fierce sorcery and Athena rising up over Olympus, as Nikita Gill majestically explores the untold stories of the life bringers, warriors, creators, survivors and destroyers that shook the world - the great Greek Goddesses.",€19.38,myth
Daughter of the Moon Goddess,Sue Lynn Tan,The bestselling debut fantasy inspired by the legend of the Chinese moon goddess....,€24.56,myth
Love Me Do,Lindsey Kelk,She's written the perfect romance . . . for someone else,€12.52,myth
See You in September,Charity Norman,Bestselling contemporary novelist Charity Norman shows how any one of us could be seduced by a disturbing cult,€13.32,myth
Six Stories,Matt Wesolowski,"A chilling, unpredictable and startling thriller, based on six podcasts, Six Stories is also a classic murder mystery with a modern twist, and a devastating ending. Perfect for fans of 'Serial'.",€10.70,myth
Shopaholic to the Stars,Sophie Kinsella,"But in between choosing clutch bags and chasing celebrities, Becky loses touch with her family and her best friend .
Caught up in the whirlwind of Tinseltown, has Becky gone too far this time?
Everybody loves Sophie Kinsella:
""I almost cried with laughter"" Daily Mail
""Hilarious .",€14.11,myth
Everything but the Truth,Gillian McAllister,A gripping and emotional debut full of shocking twists which is ideal for reading group audiences...,€13.79,myth
Book-Lovers' Retreat,Heidi Swain,"The Book-Lovers' Retreat, set in the Lake District, tells the story of three friends who spend the whole summer in a hideaway cottage, the real-life setting of their favourite book. As the summer develops, so will their friendship, they will find love in all its forms and, as a result, their lives will change course forever...",€10.80,myth
No One Saw a Thing,Andrea Mara,"Two children get on the train. Only one gets off... Grip-lit that's worth missing your stop for, from top ten bestselling author Andrea Mara....",€21.84,myth
Falling For You,Debbie Johnson,The latest heartwarming and gorgeously uplifting novel from bestselling author Debbie Johnson! Perfect for fans of Lucy Diamond and Sarah Morgan.,€11.94,myth
Yours Truly,Abby Jimenez,"The brand new romance from bestselling author Abby Jimenez, author of Life's Too Short and The Happy Ever After Playlist.",€12.43,myth
Do-Over,T L Swan,"""A billionaire playboy goes incognito on a backpacking trip in Europe. But how long can he hide from love?""--",€13.73,myth
The Best Days of Our Lives,Lucy Diamond,The big-hearted and hopeful new novel from the bestselling author of The Beach Café and Anything Could Happen.,€22.57,myth
Sealskin,Su Bristow,A stunning retelling of the Selkie legend by award-winning debut author Su Bristow,€10.65,myth
Shadow of Perseus,Claire Heywood,"The myth of Perseus, told through the story of the three women who knew him best - his mother Danae, his wife Andromeda, and his victim, Medusa.",€21.28,myth
Between Worlds: Folktales of Britain & Ireland,"Kevin Crossley-Holland, Frances Castle",The definitive collection of British and Irish folktales from master storyteller and poet Kevin Crossley-Holland....,€14.48,myth
One Split Second,Caroline Bond,"A moving and ultimately uplifting novel that challenges us to reflect on our own beliefs about guilt, responsibility and forgiveness.",€12.64,myth
Exit,Belinda Bauer,IT WAS NEVER SUPPOSED TO BE MURDER . . ....,€13.60,myth
You Get That From Me,Charlotte Butterfield,"Three women. Three generations. Three secrets... Emotional, hilarious and uplifting, this is a story of mothers and daughters, the stories we tell ourselves, and what really makes us who we are.",€12.90,myth
"Girl, Forgotten",Karin Slaughter,"The stunning new thriller from international No.1 bestseller Karin Slaughter, author of Pieces of Her, now a major Netflix series",€24.41,myth
"Again, Rachel",Marian Keyes,The international No.1 bestselling author writes her first sequel starring her most beloved character - form an orderly line!...,€26.70,myth
About Us,Sinéad Moriarty,Three women are at a crossroads - can they save their relationships or should they find happiness alone?...,€18.36,myth
Witch and the Tsar,Olesya Salnikova Gilmore,"'A delicate weaving of myth and history, The Witch and the Tsar breathes new life into stories you think you know' Hannah Whitten, New York Times bestselling author of For the Wolf",€22.25,myth
What Happens Next,Christina Suzan Nelson,"Popular podcaster and ex-reporter Faith Byrne has made a name for herself telling stories of greatness after tragedy--but her real life does not mirror the stories she tells. When she's asked to spotlight her childhood best friend's missing-person case on her podcast, she uncovers desperate secrets and must face the truth before she can move forward.",€14.03,myth
House That Made Us,Alice Cavanagh,One Day meets Up - a love story and a life story...,€10.99,myth
In the Palace of Flowers,Victoria Princewill,"Set in Iran at the end of the 19th Century ?in the Persian royal court of the Qajars?, In The Palace of Flowers is an atmospheric historical novel about Jamila, an Abyssinian slave who stands at the funeral of a Persian nobleman, watching the rites with empty eyes. In that very moment, she realises that her life will never be acknowledged or mourned with the same significance. The fear of being...",€17.58,myth
Secret Path,Karen Swan,Another instantly addictive summer read from internationally bestselling author Karen Swan. Taking you from the high pressure of a London hospital to the lush beaches and ancient towns of Costa Rica.,€12.32,myth
Village Secret,Julie Houston,Can you ever really escape the past - and does Jennifer Lewis even want to? A novel about finding your place in the world where you least expect it.,€12.42,myth
Woman in the Library,Gentill,"In the Boston Public Library, on lockdown after a threat is identified, four strangers sitting at the same table pass the time in conversation?and it just so happens that one of them is a murderer, but which one? Original.",€12.79,myth
Spinning Silver,Naomi Novik,"By the award-winning author of Uprooted, Spinning Silver is a new take on the classic fairytale Rumpelstiltskin.",€17.91,myth
Gin Sisters' Promise,Faith Hogan,"Three estranged sisters have six months to repair their relationships and save their inheritance in Faith Hogan's new novel, set on Ireland's Atlantic coast.",€13.22,myth
Last House Guest,Megan Miranda,"When a wealthy young woman dies on holiday, her best friend is cast in a cloud of suspicion. A deeply compelling thriller from a New York Times bestselling author.",€12.97,myth
Summer at the French Olive Grove,Sophie Claire,"Could love be the biggest adventure of all? A new gorgeous, escapist romance from Sophie Claire, set in sunny Provence!",€10.48,myth
Until Next Weekend,Rachel Marks,"Noah and Kate were meant to be together forever. Married with two gorgeous sons, it looked like they'd got their happy ever after. But marriage isn't easy. And one day, Kate left, taking their two boys with her.These days, Noah is a weekend dad - and it breaks his heart. He misses the chaotic meal-times, the bedtime stories, the early mornings and the late homework. Suddenly, he decides enough is...",€11.45,myth
"Hello, Again",Isabelle Broom,Love can be found in the most unlikely places . . .,€12.79,myth
Spinning Silver,Naomi Novik,"By the award-winning author of Uprooted, Spinning Silver is a new take on the classic fairytale Rumpelstiltskin.",€12.97,myth
Summer at the French Olive Grove,Sophie Claire,"Could love be the biggest adventure of all? A new gorgeous, escapist romance from Sophie Claire, set in sunny Provence!",€13.22,myth
Last House Guest,Megan Miranda,"When a wealthy young woman dies on holiday, her best friend is cast in a cloud of suspicion. A deeply compelling thriller from a New York Times bestselling author.",€11.19,myth
Here and Now,Santa Montefiore,"The enchanting new novel from Sunday Times bestselling author, Santa Montefiore.
Coming summer 2020.",€20.22,myth
Lock In,Phoebe Luckhurst,"You've heard of a locked-room mystery, now dive into a locked room rom-com! ...",€13.62,myth
Story Keeper,Anna Mazzola,The spellbinding second novel from the author of the acclaimed THE UNSEEING - for any reader of THE WITCH FINDER'S SISTER,€14.81,myth
Meet Me at Pebble Beach,Bella Osborne,Meet Me at Pebble Beach was originally published as a four-part serial. This is the complete story in one package.,€14.03,myth
One Winter Morning,Isabelle Broom,Two lives. A world apart. One winter to bring them together . . ....,€13.03,myth
Beginning of Forever,Catherine Bybee,From New York Times and USA Today bestselling author Catherine Bybee comes the story of two wine enthusiasts who ride the ups and downs of love in the vineyards of Tuscany....,€12.53,myth
Lifesaving for Beginners,Josie Lloyd,"'Heart-warming and life-affirming, full of humour and compassion' ADELE PARKS, PLATINUM
'A beautifully warm-hearted tale of friendship and hope' MY WEEKLY
'I loved this incredibly touching book...[it's] a life-belt that will help any reader through a tough patch' VERONICA HENRY
***",€11.23,myth
Three Weddings and a Proposal,Sheila O'Flanagan,"The gripping and empowering new novel from the author of the No. 1 bestsellers THE WOMEN WHO RAN AWAY, HER HUSBAND'S MISTAKE and THE MISSING WIFE",€11.29,myth
Promise of Summer,Bella Osborne,"'Lovely heart-warming story! I smiled a lot and laughed... Loved every minute of it!' NetGalley reviewer,?????",€19.86,myth
Christmas Wish,Lindsey Kelk,"Ever wished it could be Christmas every day?
Wish again...",€12.53,myth
Hidden Beach,Karen Swan,"From the internationally bestselling author Karen Swan comes an escapist, sweeping novel full of twists and turns, heartbreak and romance.",€21.74,myth
Lodgers,Eithne Shortall,"An uplifting and heartwarming tale of friendship, community and a mystery package... From the author of Love in Row 27 and Grace After Henry",€12.90,myth
Be Your Everything,Catherine Bybee,"Waking up in Las Vegas with a hangover and a wedding ring, Chloe D'Angelo realizes she's gone way too far with her brother's best friend.",€12.09,myth
Family Affair,Julie Houston,Frankie Piccione has returned to Westenbury after years of nursing her broken heart. Is she ready to take her place on the family board? Or will the past come back and send her runnning again?,€22.95,myth
In a Thousand Different Ways,Cecelia Ahern,Finding your way is never a simple journey...,€20.42,myth
The 24-Hour Cafe,Libby Page,"Uplifting, emotional reading group fiction about friendship, belonging, and never giving up on your dreams - set over a single day.",€12.73,myth
Found in a Bookshop,Stephanie Butland,"FROM THE AUTHOR OF THE BELOVED LOST FOR WORDS: A heart-warming novel about loneliness, friendship, and the redemptive power of books . . .",€11.59,myth
Invitation to Seashell Bay,Bella Osborne,"The brand-new summery rom com from Bella Osborne, full of laughter, love and life's twists and turns!",€12.24,myth
Girls Who Disappeared,Claire Douglas,The chilling new thriller from the bestselling author of The Couple at No. 9...,€12.35,myth
Affair,Hilary Boyd,"Connie McCabe longs for the summer where she spends the days leading tours across the continent.But it's on the glamourous shores of Lake Como where she is truly swept away after a much younger man named Jared, falls for her.Despite resisting his advances Connie finds that he's got under her skin.And so begins a long, hot, intoxicating summer where Connie succumbs and breaks her marriage vows.At...",€19.61,myth
Woman in the Middle,Milly Johnson,"The emotional, uplifting and completely relatable new novel from Sunday Times bestseller Milly Johnson.",€12.33,myth
Book Lovers,Emily Henry,"""Thorndike Press large print basic""--Copyright page.",€22.59,myth
Other People's Husbands,Elizabeth Noble,"Twelve friends, six couples, and an affair that could ruin everything......",€13.79,myth
Devil and the Dark Water,Stuart Turton,"'If you read one book this year, make sure it's this one' Daily Mail...",€12.09,myth
Fellowship of the Ring,J. R. R. Tolkien,"The first part of J. R. R. Tolkien's epic adventure
THE LORD OF THE RINGS",€11.87,myth
British Birds,Geoffrey David Green,What happens when the girl next door becomes 'that girl off the telly'.,€10.25,myth
All She Wants,Jonathan Harvey,"As forces meet in a deadly climax, the long-buried secrets of Dr Dee's achievements are finally revealed...and Ben will discover there is always more to life.",€30.05,myth
Life Assistance Agency,Tom Hocknell,"A breathtakingly original rendering of the Trojan War - a devastating love story and a tale of gods and kings, immortal fame and the human heart",€25.51,myth
The Song of Achilles,Madeline Miller,"From subway to Broadway to happily ever after. Modern love in all its thrill, hilarity, and uncertainty has never been so compulsively readable as in New York Times bestselling author Christina Lauren's Roomies....",€24.68,myth
Roomies,Christina Lauren,Six women. Four weeks. One TV show. Who will be left on The Shelf?,€27.24,myth
Shelf,Helly Acton,"The list he left had just one item on it. Or, at least, it did at first...Mabel Beaumont's husband Arthur loved lists. He'd leave them for her everywhere. 'Remember: eggs, butter, sugar'. 'I love you: today, tomorrow, always'....",none,myth
Last List of Mabel Beaumont,Laura Pearson,The much-anticipated new novel from the bestselling author of The Flatshare and The No-Show -- pre-order now!,none,myth
Wake-Up Call,Beth O'Leary,"This graphic novel was inspired by the true story of a young Native American woman, Uleyli, known as Florida's Pocahontas. The beautiful full-color illustrations paint a picture of life in 16th-century Native American villages in what is now the southeastern U.S. The story celebrates Uleyle's creativity and nonviolent heroism.",none,myth
Uleyli-The Princess & Pirate (A Junior Graphic Novel),"Daniels, Mitra",This highly anticipated sequel to Daughter of Destiny proves there is much more to Guinevere's story than her marriage and an affair. See the legend you think you know through her eyes and live the adventure of Camelot's golden days yourself - but be prepared to suffer its downfall as well.,none,myth
Camelot's Queen,Nicole Evelina,none,none,myth
Glasgow Kiss,Sophie Gravia,"The laugh-out-loud bestseller everyone is talking about! Perfect for fans of Fleabag, Girls and Lucy Vine.",€11.76,romance
Pride and Prejudice,Jane Austen,"Part of Penguin's beautiful hardback Clothbound Classics series, designed by the award-winning Coralie Bickford-Smith, these delectable and collectible editions are bound in high-quality colourful, tactile cloth with foil stamped into the design. When Elizabeth Bennet first meets eligible bachelor Fitzwilliam Darcy, she thinks him arrogant and conceited; he is indifferent to her good looks and...",€23.39,romance
November 9,Colleen Hoover,Synopsis coming soon.......,€10.63,romance
Reminders of Him,Colleen Hoover,"Released from prison, Kenna Rowan returns to the town where it all went wrong, hoping to reunite with her four-year-old daughter, but with everyone against her, she turns to local bar owner Ledger Ward who, risking everything, secretly helps her make amends.",€14.13,romance
Summer Seaside Kitchen,Jenny Colgan,"The ever-popular novels of Sunday Times bestselling sensation, Jenny Colgan, are given a beautiful contemporary new look in this re-issue series.",€12.37,romance
Perfect,Rachel Joyce,"Summer, 1972: In the claustrophobic heat, eleven-year-old Byron and his friend begin 'Operation Perfect', a hapless mission to rescue Byron's mother from impending crisis. Winter, present day: As frost creeps across the moor, Jim cleans tables in the local cafe, a solitary figure struggling with OCD.",€14.06,romance
Rebecca,Daphne Du Maurier,"A stunning hardback edition to mark the eightieth anniversary of one of the best-loved novels ever written. A bestselling gothic tale of love, murder and secrets.",€20.70,romance
Wait for Me,Santa Montefiore,THE BRAND-NEW NOVEL FROM THE NUMBER ONE BESTSELLING AUTHOR,€19.39,romance
Song of Me and You,Mike Gayle,"Mike Gayle: emotions you'll never forget, stories you'll want to share",€21.08,romance
Keeper of Lost Things,Ruth Hogan,"The phenomenal bestselling debut and word-of-mouth hit from one of the Queens of Up-Lit. A novel of lost objects and second chances, as joyous as Singing in the Rain or La La Land.",€10.35,romance
It Ends With Us,Colleen Hoover,Synopsis coming soon.......,€12.24,romance
"Three Sisters, Three Queens",Philippa Gregory,Synopsis coming soon.......,€12.50,romance
Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"From the author of Daisy Jones & The Six in which a legendary film actress reflects on her relentless rise to the top and the risks she took, the loves she lost, and the long-held secrets the public could never imagine.",€11.49,romance
Rebecca,Daphne Du Maurier,A dark tale of the feminine unconscious.,€11.87,romance
Girl You Left Behind,Jojo Moyes,"France, 1916. Sophie Lefevre must keep her family safe whilst her adored husband Edouard fights at the front. When she is ordered to serve the German officers who descend on her hotel each evening, her home becomes riven by fierce tensions.",€14.34,romance
Husband's Secret,Liane Moriarty,"Mother of three and wife of John-Paul, Cecilia discovers an old envelope in the attic. Written in her husband's hand, it says: to be opened only in the event of my death. Curious, she opens it - and time stops. John-Paul's letter confesses to a terrible mistake which, if revealed, would wreck their family as well as the lives of others.",€13.55,romance
