title,authors,overview,price(€),genre
Elysium Tide,Lora Leigh,"When she is kidnapped, schoolteacher Lily Donovan finds her only chance of survival is Levi Roberts, the cowboy who broke both her trust and her heart.",none,adventure
Her Renegade Cowboy,Susan May Warren,"A decade after leaving his family's bush pilot operation to become a Pararescue Jumper, Dodge Kingston is back home in Alaska. He hadn't counted on meeting up again with Echo, a girl with a spirit as free as the sky. When she goes missing, he hopes all her skills will keep her safe until he can reach her--and that she'll accept his help when he does.",none,adventure
Sunrise,Annette Marie,"From bestselling author Darcy Coates comes Dead of Winter, a remote cabin in the snowy wilderness thriller that will teach you to trust no one. There are eight strangers. One killer. Nowhere left to run....",none,adventure
The Night Realm,Darcy Coates,"First she stole their magic, then she stole their spell weaver. Now they're coming for her. Clio possesses the ability to mimic magic, but that isn't much help against the Underworld's deadliest family. Together with Lyre, she must track down a catastrophic magic-a magic he created and she sort of stole-before his family gets their hands on it.",none,adventure
Dead of Winter,Annette Marie,"Clio conned her way into the Underworld to steal magic that could protect her homeland, but instead, she escaped with the rebel son of a notorious spell weaver family. ?Now she and Lyre face two impossible feats: recover the catastrophically dangerous shadow weave before it's unleashed again, and do so before his family gets their hands on it.",none,adventure
Shadow Weave,Annette Marie,"Twelve years after a terrible trauma wrenched them apart, four childhood friends return to Montauk to rekindle their close bonds but end up having to confront their past and their decisions from that horrible night.",none,adventure
Blood Curse,Kerry Kletter,"When Gulf War veteran John Frears attends the funeral of a fellow soldier in LA, an event from his past crashes into the present and could mean the difference between life and death.",none,adventure
East Coast Girls,Mark Pepper,none,none,adventure
Veteran Avenue,none,none,none,adventure
No Longer Human,Osamu Dazai,The poignant and fascinating story of a young man who is caught between the breakup of the traditions of a northern Japanese aristocratic family and the impact of Western ideas.,€16.34,classic
Half of a Yellow Sun,Chimamanda Ngozi Adichie,"Winner of the Baileys Prize 'Best of the Best', this is a heartbreaking, exquisitely written literary masterpiece by Chimamanda Ngozi Adichie.",€14.42,classic
We Have Always Lived in the Castle,Shirley Jackson,"Living in the Blackwood family home with only her sister Constance and her Uncle Julian for company, Merricat just wants to preserve their delicate way of life. But ever since Constance was acquitted of murdering the rest of the family, the world isn't leaving the Blackwoods alone.",€12.58,classic
